Item No.,Item Description,In Stock,FOREIGN NAME,Pair Size,No of pairs,SALES UOM,PURCHASE UOM,INVENTORY UOM,MRP,Product Type,Last Purchase Price,HSN/Commodity Code,VAT Commodity Group Code
2-FB-3290X-BR-G1,FG MC-Fortune Kinaloor-3290X-Brown-Gents-6X10,0,Footwear-Pride-3290X-Brown-Gents-6X10,,24,CASE,No,CASE,279,Covering,"3,294.42",,FG
2-FB-3290X-BR-G2,FG MC-Fortune Kinaloor-3290X-Brown-Gents-7X10,0,Footwear-Pride-3290X-Brown-Gents-7X10,,24,CASE,No,CASE,279,Covering,"3,314.41",,FG
2-FB-3290X-BR-G3,FG MC-Fortune Kinaloor-3290X-Brown-Gents-6X9,0,Footwear-Pride-3290X-Brown-Gents-6X9,,24,CASE,No,CASE,279,Covering,"3,245.27",,FG
2-FB-3290X-BR-G5,FG MC-Fortune Kinaloor-3290X-Brown-Gents-8X10,0,Footwear-Pride-3290X-Brown-Gents-8X10,,24,CASE,No,CASE,279,Covering,"3,294.36",,FG
2-FB-3290X-BR-G6,FG MC-Fortune Kinaloor-3290X-Brown-Gents-6X8,0,Footwear-Pride-3290X-Brown-Gents-6X8,,24,CASE,No,CASE,279,Covering,"3,202.55",,FG
2-FB-3290X-BR-GA8,FG MC-Fortune Kinaloor-3290X-Brown-Gents-8,0,Footwear-Pride-3290X-Brown-Gents-8,,24,CASE,No,CASE,279,Covering,0,,FG
2-FB-3290X-BR-GA9,FG MC-Fortune Kinaloor-3290X-Brown-Gents-9,3,Footwear-Pride-3290X-Brown-Gents-9,,24,CASE,No,CASE,279,Covering,"3,004.23",,FG
2-FB-3290X-BR-GB0,FG MC-Fortune Kinaloor-3290X-Brown-Gents-10,0,Footwear-Pride-3290X-Brown-Gents-10,,24,CASE,No,CASE,279,Covering,"3,372.62",,FG
2-FB-3290X-BR-X1,FG MC-Fortune Kinaloor-3290X-Brown-Giants-11X12,0,Footwear-Pride-3290X-Brown-Giants-11X12,,12,CASE,No,CASE,319,Covering,"1,921.50",,FG
2-FB-3290X-TA-G1,FG MC-Fortune Kinaloor-3290X-Tan-Gents-6X10,0,Footwear-Pride-3290X-Tan-Gents-6X10,,24,CASE,No,CASE,279,Covering,0,,FG
2-FB-3290X-WT-G1,FG MC-Fortune Kinaloor-3290X-White-Gents-6X10,0,Footwear-Pride-3290X-White-Gents-6X10,,24,CASE,No,CASE,279,Covering,"3,081.12",,FG
2-FB-3290X-WT-G3,FG MC-Fortune Kinaloor-3290X-White-Gents-6X9,0,Footwear-Pride-3290X-White-Gents-6X9,,24,CASE,No,CASE,279,Covering,"3,089.31",,FG
2-FB-3290X-WT-G5,FG MC-Fortune Kinaloor-3290X-White-Gents-8X10,0,Footwear-Pride-3290X-White-Gents-8X10,,24,CASE,No,CASE,279,Covering,0,,FG
2-FB-3290Z-BK-G1,FG MC-Fortune Kinaloor-3290Z-Black-Gents-6X10,0,Footwear-Pride-3290Z-Black-Gents-6X10,,12,CASE,No,CASE,289,Covering,"1,617.95",6402.99.90,FG
2-FB-3290Z-BK-G1-P24,FG MC-Fortune Kinaloor-3290Z-Black-Gents-6X10-Export-P24,0,Footwear-Pride-3290Z-Black-Gents-6X10-Export-P24,,24,CASE,No,CASE,289,Covering,0,6402.99.90,FG
2-FB-3290Z-BK-G2,FG MC-Fortune Kinaloor-3290Z-Black-Gents-7X10-Export,0,Footwear-Pride-3290Z-Black-Gents-7X10-Export,,12,CASE,No,CASE,289,Covering,"1,693.46",6402.99.90,FG
2-FB-3290Z-BK-X1,FG MC-Fortune Kinaloor-3290Z-Black-Giants-11X12-Export,0,Footwear-Pride-3290Z-Black-Giants-11X12-Export,,12,CASE,No,CASE,339,Covering,"1,549.92",,FG
2-FB-3290Z-BK-X2,FG MC-Fortune Kinaloor-3290Z-Black-Giants-10X12-Export,0,Footwear-Pride-3290Z-Black-Giants-10X12-Export,,12,CASE,No,CASE,0,Covering,"1,857.34",,FG
2-FB-3290Z-BR-G1,FG MC-Fortune Kinaloor-3290Z-Brown-Gents-6X10,0,Footwear-Pride-3290Z-Brown-Gents-6X10,,12,CASE,No,CASE,289,Covering,"1,687.03",6402.99.90,FG
2-FB-3290Z-BR-G1-P24,FG MC-Fortune Kinaloor-3290Z-Brown-Gents-6X10-Export-P24,0,Footwear-Pride-3290Z-Brown-Gents-6X10-Export-P24,,24,CASE,No,CASE,289,Covering,0,6402.99.90,FG
2-FB-3290Z-BR-G2,FG MC-Fortune Kinaloor-3290Z-Brown-Gents-7X10-Export,10,Footwear-Pride-3290Z-Brown-Gents-7X10-Export,,12,CASE,No,CASE,289,Covering,"1,758.55",6402.99.90,FG
2-FB-3290Z-BR-X1,FG MC-Fortune Kinaloor-3290Z-Brown-Giants-11X12-Export,0,Footwear-Pride-3290Z-Brown-Giants-11X12-Export,,12,CASE,No,CASE,339,Covering,"1,586.90",,FG
2-FB-3290Z-BR-X2,FG MC-Fortune Kinaloor-3290Z-Brown-Giants-10X12-Export,0,Footwear-Pride-3290Z-Brown-Giants-10X12-Export,,12,CASE,No,CASE,0,Covering,"1,828.16",,FG
2-FB-3290Z-TA-G2,FG MC-Fortune Kinaloor-3290Z-Tan-Gents-7X10,0,Footwear-PRIDE-3290Z-Tan-Gents-7X10,,12,CASE,No,CASE,289,COVERING,"1,277.43",,FG
